Date,Time,Heart rate,Source
2025.11.10 09:51:00,09:51:00,86,
2025.11.10 09:52:00,09:52:00,57,
2025.11.10 09:53:00,09:53:00,64,
2025.11.10 09:54:00,09:54:00,63,
2025.11.10 09:55:00,09:55:00,62,
2025.11.10 09:56:00,09:56:00,66,
2025.11.10 09:57:00,09:57:00,62,
2025.11.10 09:58:00,09:58:00,66,
2025.11.10 09:59:00,09:59:00,65,
2025.11.10 10:00:00,10:00:00,69,
2025.11.10 10:01:00,10:01:00,66,
2025.11.10 10:02:00,10:02:00,90,
2025.11.10 10:03:00,10:03:00,102,
2025.11.10 10:04:00,10:04:00,76,
2025.11.10 10:05:00,10:05:00,65,
2025.11.10 10:06:00,10:06:00,58,
2025.11.10 10:07:00,10:07:00,69,
2025.11.10 10:08:00,10:08:00,83,
2025.11.10 10:09:00,10:09:00,86,
2025.11.10 10:10:00,10:10:00,87,
2025.11.10 10:11:00,10:11:00,87,
2025.11.10 10:12:00,10:12:00,85,
2025.11.10 10:13:00,10:13:00,85,
2025.11.10 10:14:00,10:14:00,94,
2025.11.10 10:15:00,10:15:00,75,
2025.11.10 10:16:00,10:16:00,83,
2025.11.10 10:17:00,10:17:00,96,
2025.11.10 10:18:00,10:18:00,90,
2025.11.10 10:19:00,10:19:00,97,
2025.11.10 10:20:00,10:20:00,96,
2025.11.10 10:21:00,10:21:00,103,
2025.11.10 10:22:00,10:22:00,82,
2025.11.10 10:23:00,10:23:00,78,
2025.11.10 10:24:00,10:24:00,80,
2025.11.10 10:25:00,10:25:00,81,
2025.11.10 10:26:00,10:26:00,79,
2025.11.10 10:27:00,10:27:00,81,
2025.11.10 10:28:00,10:28:00,87,
2025.11.10 10:29:00,10:29:00,81,
2025.11.10 10:30:00,10:30:00,92,
2025.11.10 10:31:00,10:31:00,80,
2025.11.10 10:32:00,10:32:00,77,
2025.11.10 10:33:00,10:33:00,80,
2025.11.10 10:34:00,10:34:00,88,
2025.11.10 10:35:00,10:35:00,88,
2025.11.10 10:36:00,10:36:00,93,
2025.11.10 10:37:00,10:37:00,85,
2025.11.10 10:38:00,10:38:00,98,
2025.11.10 10:39:00,10:39:00,113,
2025.11.10 10:40:00,10:40:00,127,
2025.11.10 10:41:00,10:41:00,139,
2025.11.10 10:42:00,10:42:00,115,
2025.11.10 10:43:00,10:43:00,106,
2025.11.10 10:44:00,10:44:00,103,
