Date,Time,Steps
2025.11.07 09:56:00,09:56:00,50
2025.11.07 09:57:00,09:57:00,27
2025.11.07 09:58:00,09:58:00,49
2025.11.07 11:19:00,11:19:00,24
2025.11.07 11:21:00,11:21:00,19
2025.11.07 11:42:00,11:42:00,29
2025.11.07 11:43:00,11:43:00,35
2025.11.07 11:45:00,11:45:00,10
2025.11.07 11:46:00,11:46:00,19
2025.11.07 11:48:00,11:48:00,12
2025.11.07 11:52:00,11:52:00,27
2025.11.07 11:54:00,11:54:00,11
2025.11.07 11:55:00,11:55:00,12
2025.11.07 12:03:00,12:03:00,23
2025.11.07 12:04:00,12:04:00,18
2025.11.07 12:09:00,12:09:00,14
2025.11.07 12:10:00,12:10:00,23
2025.11.07 12:50:00,12:50:00,2
2025.11.07 12:51:00,12:51:00,57
2025.11.07 13:46:00,13:46:00,27
2025.11.07 13:48:00,13:48:00,7
2025.11.07 13:50:00,13:50:00,5
2025.11.07 13:51:00,13:51:00,58
2025.11.07 13:52:00,13:52:00,11
2025.11.07 13:53:00,13:53:00,48
2025.11.07 13:54:00,13:54:00,41
2025.11.07 14:12:00,14:12:00,124
2025.11.07 14:13:00,14:13:00,78
2025.11.07 14:14:00,14:14:00,48
2025.11.07 14:18:00,14:18:00,44
2025.11.07 14:19:00,14:19:00,68
2025.11.07 14:20:00,14:20:00,35
2025.11.07 14:21:00,14:21:00,11
2025.11.07 14:24:00,14:24:00,33
2025.11.07 14:32:00,14:32:00,12
2025.11.07 14:33:00,14:33:00,1
2025.11.07 14:34:00,14:34:00,3
2025.11.07 14:40:00,14:40:00,30
2025.11.07 14:41:00,14:41:00,25
2025.11.07 14:43:00,14:43:00,10
2025.11.07 14:44:00,14:44:00,54
2025.11.07 14:45:00,14:45:00,14
2025.11.07 14:49:00,14:49:00,17
2025.11.07 14:50:00,14:50:00,9
2025.11.07 14:53:00,14:53:00,43
2025.11.07 14:54:00,14:54:00,67
2025.11.07 14:57:00,14:57:00,11
2025.11.07 14:58:00,14:58:00,28
2025.11.07 14:59:00,14:59:00,21
2025.11.07 15:02:00,15:02:00,5
2025.11.07 15:04:00,15:04:00,27
2025.11.07 15:06:00,15:06:00,88
2025.11.07 15:12:00,15:12:00,27
2025.11.07 15:14:00,15:14:00,11
2025.11.07 15:17:00,15:17:00,8
2025.11.07 15:18:00,15:18:00,2
2025.11.07 15:20:00,15:20:00,12
2025.11.07 15:21:00,15:21:00,22
2025.11.07 15:22:00,15:22:00,23
2025.11.07 15:23:00,15:23:00,28
2025.11.07 15:24:00,15:24:00,13
2025.11.07 15:25:00,15:25:00,3
2025.11.07 15:26:00,15:26:00,4
2025.11.07 15:27:00,15:27:00,2
2025.11.07 15:28:00,15:28:00,21
2025.11.07 15:30:00,15:30:00,32
2025.11.07 15:31:00,15:31:00,15
2025.11.07 15:34:00,15:34:00,32
2025.11.07 15:35:00,15:35:00,29
2025.11.07 15:37:00,15:37:00,23
2025.11.07 15:38:00,15:38:00,60
2025.11.07 15:39:00,15:39:00,39
2025.11.07 15:41:00,15:41:00,25
2025.11.07 15:42:00,15:42:00,64
2025.11.07 15:43:00,15:43:00,33
2025.11.07 15:47:00,15:47:00,30
2025.11.07 15:48:00,15:48:00,43
2025.11.07 15:50:00,15:50:00,14
2025.11.07 15:53:00,15:53:00,35
2025.11.07 15:58:00,15:58:00,66
2025.11.07 15:59:00,15:59:00,63
2025.11.07 16:00:00,16:00:00,56
2025.11.07 16:01:00,16:01:00,38
2025.11.07 16:02:00,16:02:00,62
2025.11.07 16:03:00,16:03:00,14
2025.11.07 16:05:00,16:05:00,28
2025.11.07 16:06:00,16:06:00,32
2025.11.07 16:09:00,16:09:00,12
2025.11.07 16:11:00,16:11:00,19
