Date,Time,Steps
2025.11.19 11:09:00,11:09:00,59
2025.11.19 11:10:00,11:10:00,2
2025.11.19 11:15:00,11:15:00,54
2025.11.19 11:16:00,11:16:00,45
2025.11.19 11:20:00,11:20:00,31
2025.11.19 11:21:00,11:21:00,76
2025.11.19 11:26:00,11:26:00,75
2025.11.19 11:29:00,11:29:00,44
2025.11.19 11:30:00,11:30:00,24
2025.11.19 11:31:00,11:31:00,4
2025.11.19 11:34:00,11:34:00,24
2025.11.19 11:36:00,11:36:00,28
2025.11.19 11:37:00,11:37:00,6
2025.11.19 11:38:00,11:38:00,11
2025.11.19 11:39:00,11:39:00,1
2025.11.19 11:40:00,11:40:00,22
2025.11.19 11:42:00,11:42:00,8
2025.11.19 11:44:00,11:44:00,50
2025.11.19 11:56:00,11:56:00,9
2025.11.19 11:57:00,11:57:00,39
2025.11.19 12:03:00,12:03:00,2
2025.11.19 12:04:00,12:04:00,74
2025.11.19 12:05:00,12:05:00,27
2025.11.19 12:07:00,12:07:00,70
2025.11.19 12:08:00,12:08:00,44
2025.11.19 12:09:00,12:09:00,6
2025.11.19 12:11:00,12:11:00,22
2025.11.19 12:14:00,12:14:00,59
2025.11.19 12:15:00,12:15:00,4
2025.11.19 12:17:00,12:17:00,78
2025.11.19 12:18:00,12:18:00,11
2025.11.19 12:19:00,12:19:00,9
2025.11.19 12:24:00,12:24:00,8
2025.11.19 12:25:00,12:25:00,54
2025.11.19 12:26:00,12:26:00,40
2025.11.19 12:28:00,12:28:00,62
2025.11.19 12:29:00,12:29:00,18
2025.11.19 12:30:00,12:30:00,26
2025.11.19 12:31:00,12:31:00,57
2025.11.19 12:35:00,12:35:00,11
2025.11.19 12:37:00,12:37:00,10
2025.11.19 12:38:00,12:38:00,32
2025.11.19 12:39:00,12:39:00,31
2025.11.19 12:43:00,12:43:00,43
2025.11.19 12:44:00,12:44:00,26
2025.11.19 12:47:00,12:47:00,12
2025.11.19 12:48:00,12:48:00,47
2025.11.19 12:50:00,12:50:00,24
2025.11.19 12:51:00,12:51:00,46
2025.11.19 12:52:00,12:52:00,32
2025.11.19 12:55:00,12:55:00,40
2025.11.19 12:56:00,12:56:00,40
2025.11.19 12:57:00,12:57:00,32
2025.11.19 12:59:00,12:59:00,43
2025.11.19 13:00:00,13:00:00,23
2025.11.19 13:01:00,13:01:00,10
2025.11.19 13:02:00,13:02:00,16
2025.11.19 13:05:00,13:05:00,36
2025.11.19 13:06:00,13:06:00,20
2025.11.19 13:10:00,13:10:00,26
2025.11.19 13:13:00,13:13:00,25
2025.11.19 13:14:00,13:14:00,20
2025.11.19 13:15:00,13:15:00,24
2025.11.19 13:16:00,13:16:00,24
2025.11.19 13:17:00,13:17:00,40
2025.11.19 13:18:00,13:18:00,11
2025.11.19 13:19:00,13:19:00,68
2025.11.19 13:21:00,13:21:00,3
2025.11.19 13:22:00,13:22:00,30
2025.11.19 13:23:00,13:23:00,46
2025.11.19 13:25:00,13:25:00,15
2025.11.19 13:26:00,13:26:00,29
2025.11.19 13:28:00,13:28:00,38
2025.11.19 13:29:00,13:29:00,52
2025.11.19 13:35:00,13:35:00,40
2025.11.19 13:36:00,13:36:00,35
2025.11.19 13:37:00,13:37:00,103
2025.11.19 13:38:00,13:38:00,18
2025.11.19 13:39:00,13:39:00,17
2025.11.19 13:43:00,13:43:00,15
2025.11.19 13:44:00,13:44:00,63
2025.11.19 13:45:00,13:45:00,59
2025.11.19 13:47:00,13:47:00,42
2025.11.19 13:48:00,13:48:00,7
2025.11.19 13:52:00,13:52:00,38
2025.11.19 13:53:00,13:53:00,2
2025.11.19 13:55:00,13:55:00,79
2025.11.19 13:56:00,13:56:00,42
2025.11.19 14:00:00,14:00:00,8
2025.11.19 14:15:00,14:15:00,7
2025.11.19 14:16:00,14:16:00,4
2025.11.19 14:17:00,14:17:00,12
2025.11.19 14:32:00,14:32:00,10
2025.11.19 14:36:00,14:36:00,42
2025.11.19 14:38:00,14:38:00,9
2025.11.19 14:39:00,14:39:00,50
2025.11.19 14:40:00,14:40:00,27
2025.11.19 14:41:00,14:41:00,41
2025.11.19 14:42:00,14:42:00,56
2025.11.19 14:57:00,14:57:00,13
2025.11.19 15:07:00,15:07:00,22
2025.11.19 15:12:00,15:12:00,2
2025.11.19 15:14:00,15:14:00,6
2025.11.19 15:15:00,15:15:00,2
2025.11.19 15:23:00,15:23:00,42
2025.11.19 15:25:00,15:25:00,12
2025.11.19 15:29:00,15:29:00,4
2025.11.19 15:30:00,15:30:00,47
2025.11.19 15:32:00,15:32:00,30
2025.11.19 15:33:00,15:33:00,45
2025.11.19 15:34:00,15:34:00,37
2025.11.19 15:35:00,15:35:00,28
2025.11.19 15:36:00,15:36:00,12
2025.11.19 15:37:00,15:37:00,31
2025.11.19 15:38:00,15:38:00,60
2025.11.19 15:42:00,15:42:00,14
2025.11.19 15:43:00,15:43:00,43
2025.11.19 15:44:00,15:44:00,9
2025.11.19 15:45:00,15:45:00,9
2025.11.19 15:46:00,15:46:00,24
2025.11.19 16:08:00,16:08:00,15
2025.11.19 16:10:00,16:10:00,4
2025.11.19 16:11:00,16:11:00,71
2025.11.19 16:12:00,16:12:00,78
2025.11.19 16:14:00,16:14:00,44
2025.11.19 16:15:00,16:15:00,23
2025.11.19 16:16:00,16:16:00,34
2025.11.19 16:17:00,16:17:00,36
2025.11.19 16:18:00,16:18:00,114
2025.11.19 16:19:00,16:19:00,116
2025.11.19 16:20:00,16:20:00,116
2025.11.19 16:21:00,16:21:00,44
2025.11.19 16:23:00,16:23:00,109
2025.11.19 16:24:00,16:24:00,119
2025.11.19 16:25:00,16:25:00,122
2025.11.19 16:26:00,16:26:00,123
2025.11.19 16:27:00,16:27:00,121
2025.11.19 16:28:00,16:28:00,122
2025.11.19 16:29:00,16:29:00,119
2025.11.19 16:30:00,16:30:00,121
2025.11.19 16:31:00,16:31:00,72
2025.11.19 16:32:00,16:32:00,40
2025.11.19 16:34:00,16:34:00,21
2025.11.19 16:43:00,16:43:00,106
2025.11.19 16:44:00,16:44:00,32
2025.11.19 16:45:00,16:45:00,139
2025.11.19 16:46:00,16:46:00,113
2025.11.19 16:47:00,16:47:00,117
2025.11.19 16:48:00,16:48:00,119
2025.11.19 16:49:00,16:49:00,118
2025.11.19 16:50:00,16:50:00,85
2025.11.19 16:51:00,16:51:00,109
2025.11.19 16:52:00,16:52:00,75
2025.11.19 16:53:00,16:53:00,45
2025.11.19 16:54:00,16:54:00,60
2025.11.19 16:55:00,16:55:00,58
2025.11.19 19:29:00,19:29:00,86
2025.11.19 19:30:00,19:30:00,21
2025.11.19 19:35:00,19:35:00,62
2025.11.19 20:32:00,20:32:00,64
2025.11.19 20:33:00,20:33:00,122
2025.11.19 20:34:00,20:34:00,103
2025.11.19 20:35:00,20:35:00,113
2025.11.19 20:36:00,20:36:00,115
2025.11.19 20:37:00,20:37:00,112
2025.11.19 20:38:00,20:38:00,101
2025.11.19 20:39:00,20:39:00,55
2025.11.19 20:42:00,20:42:00,62
2025.11.19 20:43:00,20:43:00,101
2025.11.19 20:44:00,20:44:00,73
2025.11.19 20:45:00,20:45:00,2
2025.11.19 20:46:00,20:46:00,131
2025.11.19 20:47:00,20:47:00,8
2025.11.19 20:54:00,20:54:00,6
2025.11.19 20:55:00,20:55:00,103
2025.11.19 20:56:00,20:56:00,110
2025.11.19 20:57:00,20:57:00,124
2025.11.19 20:58:00,20:58:00,126
2025.11.19 20:59:00,20:59:00,104
2025.11.19 21:00:00,21:00:00,142
2025.11.19 21:01:00,21:01:00,116
2025.11.19 21:02:00,21:02:00,127
2025.11.19 21:03:00,21:03:00,120
2025.11.19 21:04:00,21:04:00,122
2025.11.19 21:05:00,21:05:00,123
2025.11.19 21:06:00,21:06:00,115
2025.11.19 21:07:00,21:07:00,22
2025.11.19 21:08:00,21:08:00,32
2025.11.19 21:09:00,21:09:00,75
2025.11.19 21:10:00,21:10:00,22
2025.11.19 21:21:00,21:21:00,14
2025.11.19 21:26:00,21:26:00,36
