Vegetable,Calories (kcal),Carbs (g),Sugar (g),Fiber (g),Protein (g),Fat (g),Vitamin C (mg),Vitamin A (µg),Vitamin B6 (mg),Folate (µg),Calcium (mg),Magnesium (mg),Potassium (mg),Iron (mg)
Carrot,41,10.0,4.7,2.8,0.9,0.2,5.9,835,0.138,19,33,12,320,0.3
Broccoli,34,7.0,1.7,2.6,2.8,0.4,89.2,31,0.175,63,47,21,316,0.7
Spinach,23,3.6,0.4,2.2,2.9,0.4,28.1,469,0.195,194,99,79,558,2.7
Tomato,18,3.9,2.6,1.2,0.9,0.2,13.7,42,0.08,15,10,11,237,0.3
Cucumber,15,3.6,1.7,0.5,0.7,0.1,2.8,5,0.04,7,16,13,147,0.3
Bell pepper (red),31,6.0,4.2,2.1,1.0,0.3,127.7,157,0.168,46,7,12,211,0.4
Cauliflower,25,5.0,1.9,2.0,1.9,0.3,48.2,0,0.184,57,22,15,299,0.4
Zucchini,17,3.1,2.5,1.0,1.2,0.3,17.9,10,0.163,24,16,18,261,0.4
Potato,77,17.0,0.8,2.2,2.0,0.1,19.7,2,0.298,15,12,23,425,0.8
Sweet potato,86,20.0,4.2,3.0,1.6,0.1,2.4,709,0.209,11,30,25,337,0.6
Onion,40,9.3,4.2,1.7,1.1,0.1,7.4,0,0.12,19,23,10,146,0.2
Garlic,149,33.0,1.0,2.1,6.4,0.5,31.2,0,1.235,3,181,25,401,1.7
Lettuce (romaine),17,3.3,1.2,2.1,1.2,0.3,24.1,436,0.09,38,33,14,247,0.9
Cabbage,25,6.0,3.2,2.5,1.3,0.1,36.6,98,0.124,43,40,12,170,0.5
Peas (green),81,14.0,6.0,5.7,5.4,0.4,40.0,38,0.169,65,25,33,244,1.5
Celery,16,3.0,1.3,1.6,0.7,0.2,3.1,22,0.074,36,40,11,260,0.2
Beans (green),31,7.0,3.3,3.4,1.8,0.1,12.2,35,0.141,33,37,25,211,1.0
Corn (sweet),86,19.0,6.3,2.7,3.3,1.2,6.8,9,0.093,42,2,37,270,0.5
Pumpkin,26,7.0,2.8,0.5,1.0,0.1,9.0,426,0.061,16,21,12,340,0.8
Pak choi,13,2.2,1.2,1.0,1.5,0.2,45.0,223,0.194,66,105,19,252,0.8
Salad (mixed leafy greens),20,3.3,1.3,2.0,1.4,0.3,28.0,370,0.085,40,60,17,260,0.9
Radish,16,3.4,1.9,1.6,0.7,0.1,14.8,7,0.071,25,25,10,233,0.3
