"year","week","date","unit","recent","origin","value"
"2019","1","2019-01-02","adm","rall","oall","307923"
"2019","2","2019-01-09","adm","rall","oall","249573"
"2019","3","2019-01-16","adm","rall","oall","240276"
"2019","4","2019-01-23","adm","rall","oall","303711"
"2019","5","2019-01-30","adm","rall","oall","333087"
"2019","6","2019-02-06","adm","rall","oall","339580"
"2019","7","2019-02-13","adm","rall","oall","240156"
"2019","8","2019-02-20","adm","rall","oall","227210"
"2019","9","2019-02-27","adm","rall","oall","257911"
"2019","10","2019-03-06","adm","rall","oall","318577"
"2019","11","2019-03-13","adm","rall","oall","216455"
"2019","12","2019-03-20","adm","rall","oall","150675"
"2019","13","2019-03-27","adm","rall","oall","142909"
"2019","14","2019-04-03","adm","rall","oall","233250"
"2019","15","2019-04-10","adm","rall","oall","238149"
"2019","16","2019-04-17","adm","rall","oall","181769"
"2019","17","2019-04-24","adm","rall","oall","435994"
"2019","18","2019-05-01","adm","rall","oall","281089"
"2019","19","2019-05-08","adm","rall","oall","238686"
"2019","20","2019-05-15","adm","rall","oall","187145"
"2019","21","2019-05-22","adm","rall","oall","208470"
"2019","22","2019-05-29","adm","rall","oall","145057"
"2019","23","2019-06-05","adm","rall","oall","261961"
"2019","24","2019-06-12","adm","rall","oall","119599"
"2019","25","2019-06-19","adm","rall","oall","122933"
"2019","26","2019-06-26","adm","rall","oall","96345"
"2019","27","2019-07-03","adm","rall","oall","178519"
"2019","28","2019-07-10","adm","rall","oall","173813"
"2019","29","2019-07-17","adm","rall","oall","192198"
"2019","30","2019-07-24","adm","rall","oall","273107"
"2019","31","2019-07-31","adm","rall","oall","226999"
"2019","32","2019-08-07","adm","rall","oall","220234"
"2019","33","2019-08-14","adm","rall","oall","210713"
"2019","34","2019-08-21","adm","rall","oall","139408"
"2019","35","2019-08-28","adm","rall","oall","325467"
"2019","36","2019-09-04","adm","rall","oall","215922"
"2019","37","2019-09-11","adm","rall","oall","137463"
"2019","38","2019-09-18","adm","rall","oall","156286"
"2019","39","2019-09-25","adm","rall","oall","168375"
"2019","40","2019-10-02","adm","rall","oall","247868"
"2019","41","2019-10-09","adm","rall","oall","265276"
"2019","42","2019-10-16","adm","rall","oall","292566"
"2019","43","2019-10-23","adm","rall","oall","234341"
"2019","44","2019-10-30","adm","rall","oall","306602"
"2019","45","2019-11-06","adm","rall","oall","273762"
"2019","46","2019-11-13","adm","rall","oall","263573"
"2019","47","2019-11-20","adm","rall","oall","305027"
"2019","48","2019-11-27","adm","rall","oall","265914"
"2019","49","2019-12-04","adm","rall","oall","220012"
"2019","50","2019-12-11","adm","rall","oall","257216"
"2019","51","2019-12-18","adm","rall","oall","421095"
"2019","52","2019-12-25","adm","rall","oall","455897"
"2020","1","2020-01-01","adm","rall","oall","334405"
"2020","2","2020-01-08","adm","rall","oall","199455"
"2020","3","2020-01-15","adm","rall","oall","275591"
"2020","4","2020-01-22","adm","rall","oall","289291"
"2020","5","2020-01-29","adm","rall","oall","319828"
"2020","6","2020-02-05","adm","rall","oall","248108"
"2020","7","2020-02-12","adm","rall","oall","274737"
"2020","8","2020-02-19","adm","rall","oall","223265"
"2020","9","2020-02-26","adm","rall","oall","212710"
"2020","10","2020-03-04","adm","rall","oall","161450"
"2020","11","2020-03-11","adm","rall","oall","47010"
"2020","12","2020-03-18","adm","rall","oall","0"
"2020","13","2020-03-25","adm","rall","oall","0"
"2020","14","2020-04-01","adm","rall","oall","0"
"2020","15","2020-04-08","adm","rall","oall","0"
"2020","16","2020-04-15","adm","rall","oall","0"
"2020","17","2020-04-22","adm","rall","oall","0"
"2020","18","2020-04-29","adm","rall","oall","0"
"2020","19","2020-05-06","adm","rall","oall","0"
"2020","20","2020-05-13","adm","rall","oall","0"
"2020","21","2020-05-20","adm","rall","oall","0"
"2020","22","2020-05-27","adm","rall","oall","0"
"2020","23","2020-06-03","adm","rall","oall","52143"
"2020","24","2020-06-10","adm","rall","oall","65537"
"2020","25","2020-06-17","adm","rall","oall","38506"
"2020","26","2020-06-24","adm","rall","oall","37400"
"2020","27","2020-07-01","adm","rall","oall","34277"
"2020","28","2020-07-08","adm","rall","oall","47550"
"2020","29","2020-07-15","adm","rall","oall","54173"
"2020","30","2020-07-22","adm","rall","oall","47949"
"2020","31","2020-07-29","adm","rall","oall","61550"
"2020","32","2020-08-05","adm","rall","oall","30884"
"2020","33","2020-08-12","adm","rall","oall","54168"
"2020","34","2020-08-19","adm","rall","oall","65624"
"2020","35","2020-08-26","adm","rall","oall","156439"
"2020","36","2020-09-02","adm","rall","oall","95910"
"2020","37","2020-09-09","adm","rall","oall","65850"
"2020","38","2020-09-16","adm","rall","oall","83208"
"2020","39","2020-09-23","adm","rall","oall","123831"
"2020","40","2020-09-30","adm","rall","oall","140157"
"2020","41","2020-10-07","adm","rall","oall","117202"
"2020","42","2020-10-14","adm","rall","oall","109806"
"2020","43","2020-10-21","adm","rall","oall","78080"
"2020","44","2020-10-28","adm","rall","oall","54067"
"2020","45","2020-11-04","adm","rall","oall","31172"
"2020","46","2020-11-11","adm","rall","oall","26180"
"2020","47","2020-11-18","adm","rall","oall","30230"
"2020","48","2020-11-25","adm","rall","oall","27566"
"2020","49","2020-12-02","adm","rall","oall","27048"
"2020","50","2020-12-09","adm","rall","oall","6198"
"2020","51","2019-12-18","adm","rall","oall","0"
"2020","52","2019-12-25","adm","rall","oall","0"
"2021","1","2020-12-30","adm","rall","oall","21"
"2021","2","2021-01-06","adm","rall","oall","0"
"2021","3","2021-01-13","adm","rall","oall","13"
"2021","4","2021-01-20","adm","rall","oall","6"
"2021","5","2021-01-27","adm","rall","oall","12"
"2021","6","2021-02-03","adm","rall","oall","15"
"2021","7","2021-02-10","adm","rall","oall","102"
"2021","8","2021-02-17","adm","rall","oall","98"
"2021","9","2021-02-24","adm","rall","oall","29"
"2021","10","2021-03-03","adm","rall","oall","9"
"2021","11","2021-03-10","adm","rall","oall","77"
"2021","12","2021-03-17","adm","rall","oall","153"
"2021","13","2021-03-24","adm","rall","oall","747"
